Complexity metrics,Sat, 28 Mar 2026 14:21:21 EDT
Method,CogC,ev(G),iv(G),v(G)
com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.delete(Long),0,1,1,1
com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.findById(Long),0,1,1,1
"com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.getClassLevel(Hero, HeroClass)",1,1,5,5
"com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.incrementClassLevel(Hero, HeroClass)",1,1,5,5
com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.isLevelUpPending(Long),1,1,2,2
"com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.levelUp(Long, HeroClass)",7,3,8,10
com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.save(Hero),0,1,1,1
com.university.project.legendsofswordandwand.service.inventory.impl.InventoryServiceImpl.getPartyInventoryItems(Long),1,2,2,2
com.university.project.legendsofswordandwand.service.inventory.impl.InventoryServiceImpl.saveInventory(Inventory),0,1,1,1
"com.university.project.legendsofswordandwand.service.inventory.impl.InventoryServiceImpl.useItem(Long, Long, Long)",6,4,4,5
"com.university.project.legendsofswordandwand.service.party.impl.PartyManagementServiceImpl.addGold(Long, int)",0,1,1,1
"com.university.project.legendsofswordandwand.service.party.impl.PartyManagementServiceImpl.addHeroToParty(Long, Long)",0,1,1,1
"com.university.project.legendsofswordandwand.service.party.impl.PartyManagementServiceImpl.deductGold(Long, int)",0,1,1,1
com.university.project.legendsofswordandwand.service.party.impl.PartyManagementServiceImpl.getActiveParty(Long),0,1,1,1
com.university.project.legendsofswordandwand.service.party.impl.PartyManagementServiceImpl.reviveAndHealParty(Long),0,1,1,1
com.university.project.legendsofswordandwand.service.party.impl.PartyManagementServiceImpl.reviveAndHealPartyWithSummary(Long),21,1,3,8
com.university.project.legendsofswordandwand.service.party.impl.PartyServiceImpl.createPartyForUser(Long),0,1,1,1
com.university.project.legendsofswordandwand.service.party.impl.PartyServiceImpl.deleteParty(Long),0,1,1,1
com.university.project.legendsofswordandwand.service.pvp.impl.PvPServiceImpl.acceptInvitation(Long),0,1,1,1
"com.university.project.legendsofswordandwand.service.pvp.impl.PvPServiceImpl.createInvitation(String, String)",3,4,1,4
com.university.project.legendsofswordandwand.service.security.CustomUserDetailsService.loadUserByUsername(String),0,1,1,1
com.university.project.legendsofswordandwand.service.user.impl.ProfileServiceImpl.getHallOfFame(),1,1,2,2
com.university.project.legendsofswordandwand.service.user.impl.ProfileServiceImpl.getProfile(String),0,1,1,1
com.university.project.legendsofswordandwand.service.user.impl.ProfileServiceImpl.getPvPStandings(),3,1,3,3
com.university.project.legendsofswordandwand.service.user.impl.ProfileServiceImpl.toHeroInfo(Hero),1,1,2,2
com.university.project.legendsofswordandwand.service.user.impl.ProfileServiceImpl.toPartyInfo(Party),0,1,1,1
com.university.project.legendsofswordandwand.service.user.impl.UserServiceImpl.getDashboardInfo(String),6,1,5,5
com.university.project.legendsofswordandwand.service.user.impl.UserServiceImpl.getUserIdByUsername(String),0,1,1,1

Class,OCavg,OCmax,WMC
com.university.project.legendsofswordandwand.DemoDataLoader,1.17,2,7
com.university.project.legendsofswordandwand.LegendsOfSwordAndWandApplication,1.00,1,1
com.university.project.legendsofswordandwand.LegendsOfSwordAndWandApplicationTests,1.00,1,1
com.university.project.legendsofswordandwand.battle.AbilityExecutor,2.00,3,6
com.university.project.legendsofswordandwand.battle.BattleState,1.42,5,17
com.university.project.legendsofswordandwand.battle.BattleUnit,1.00,1,2
com.university.project.legendsofswordandwand.battle.DamageCalculator,1.00,1,1
com.university.project.legendsofswordandwand.battle.EnemyGenerator,2.67,5,8
com.university.project.legendsofswordandwand.battle.EnemyGenerator.Archetype,1.00,1,4
com.university.project.legendsofswordandwand.battle.EnemyGenerator.EnemyType,1.00,1,1
com.university.project.legendsofswordandwand.battle.HeroSnapshot,1.00,1,2
com.university.project.legendsofswordandwand.battle.HeroStatCalculator,1.50,3,9
com.university.project.legendsofswordandwand.battle.HybridClassResolver,10.00,10,10
com.university.project.legendsofswordandwand.battle.ability.AbilityFactory,3.33,5,10
com.university.project.legendsofswordandwand.battle.ability.AbilityHelper,2.00,4,6
com.university.project.legendsofswordandwand.battle.ability.chaos.ChainLightningAbility,2.00,4,6
com.university.project.legendsofswordandwand.battle.ability.chaos.FireballAbility,3.33,8,10
com.university.project.legendsofswordandwand.battle.ability.decorator.AbilityDecorator,1.00,1,3
com.university.project.legendsofswordandwand.battle.ability.decorator.DoubleEffectDecorator,1.00,1,2
com.university.project.legendsofswordandwand.battle.ability.decorator.SelfHealBeforeAttackDecorator,1.00,1,2
com.university.project.legendsofswordandwand.battle.ability.decorator.StunDecorator,1.50,2,3
com.university.project.legendsofswordandwand.battle.ability.mage.ReplenishAbility,2.33,4,7
com.university.project.legendsofswordandwand.battle.ability.order.FireShieldAbility,2.00,3,4
com.university.project.legendsofswordandwand.battle.ability.order.HealAbility,1.25,2,5
com.university.project.legendsofswordandwand.battle.ability.order.ProtectAbility,1.67,3,5
com.university.project.legendsofswordandwand.battle.ability.warrior.BerserkerAbility,1.33,2,4
com.university.project.legendsofswordandwand.battle.initializer.BattleInitializer,2.00,2,2
com.university.project.legendsofswordandwand.battle.initializer.PvEBattleInitializer,1.75,3,7
com.university.project.legendsofswordandwand.battle.initializer.PvPBattleInitializer,2.20,3,11
com.university.project.legendsofswordandwand.battle.strategy.ChaosBonusStrategy,1.00,1,2
com.university.project.legendsofswordandwand.battle.strategy.MageBonusStrategy,1.00,1,2
com.university.project.legendsofswordandwand.battle.strategy.OrderBonusStrategy,1.00,1,2
com.university.project.legendsofswordandwand.battle.strategy.WarriorBonusStrategy,1.00,1,2
com.university.project.legendsofswordandwand.config.SecurityConfig,1.00,1,4
com.university.project.legendsofswordandwand.controller.AuthController,1.25,2,5
com.university.project.legendsofswordandwand.controller.BattleController,4.75,9,38
com.university.project.legendsofswordandwand.controller.CampaignController,2.25,4,27
com.university.project.legendsofswordandwand.controller.DashboardController,2.00,2,2
com.university.project.legendsofswordandwand.controller.InnController,3.50,5,14
com.university.project.legendsofswordandwand.controller.ProfileController,2.00,2,2
com.university.project.legendsofswordandwand.controller.PvPController,2.25,3,9
com.university.project.legendsofswordandwand.controller.RankingsController,2.00,2,2
com.university.project.legendsofswordandwand.dto.request.RegisterRequest,n/a,n/a,0
com.university.project.legendsofswordandwand.dto.response.CampaignViewInfo,n/a,n/a,0
com.university.project.legendsofswordandwand.dto.response.CompleteCampaignInfo,n/a,n/a,0
com.university.project.legendsofswordandwand.dto.response.DashboardInfo,n/a,n/a,0
